Week,growth
2004-01-10,91
2004-01-17,91
2004-01-24,92
2004-01-31,93
2004-02-07,82
2004-02-14,85
2004-02-21,92
2004-02-28,93
2004-03-06,95
2004-03-13,95
2004-03-20,90
2004-03-27,83
2004-04-03,91
2004-04-10,88
2004-04-17,80
2004-04-24,99
2004-05-01,100
2004-05-08,91
2004-05-15,88
2004-05-22,81
2004-05-29,74
2004-06-05,80
2004-06-12,76
2004-06-19,75
2004-06-26,74
2004-07-03,71
2004-07-10,70
2004-07-17,75
2004-07-24,75
2004-07-31,71
2004-08-07,70
2004-08-14,72
2004-08-21,77
2004-08-28,75
2004-09-04,85
2004-09-11,77
2004-09-18,85
2004-09-25,86
2004-10-02,85
2004-10-09,94
2004-10-16,90
2004-10-23,88
2004-10-30,93
2004-11-06,93
2004-11-13,93
2004-11-20,96
2004-11-27,86
2004-12-04,100
2004-12-11,92
2004-12-18,83
2004-12-25,64
2005-01-01,56
2005-01-08,82
2005-01-15,85
2005-01-22,83
2005-01-29,84
2005-02-05,90
2005-02-12,91
2005-02-19,88
2005-02-26,86
2005-03-05,91
2005-03-12,87
2005-03-19,85
2005-03-26,77
2005-04-02,82
2005-04-09,84
2005-04-16,89
2005-04-23,96
2005-04-30,95
2005-05-07,94
2005-05-14,86
2005-05-21,78
2005-05-28,78
2005-06-04,81
2005-06-11,73
2005-06-18,73
2005-06-25,71
2005-07-02,74
2005-07-09,72
2005-07-16,71
2005-07-23,69
2005-07-30,70
2005-08-06,72
2005-08-13,67
2005-08-20,71
2005-08-27,65
2005-09-03,64
2005-09-10,72
2005-09-17,80
2005-09-24,78
2005-10-01,85
2005-10-08,85
2005-10-15,85
2005-10-22,84
2005-10-29,81
2005-11-05,82
2005-11-12,79
2005-11-19,83
2005-11-26,72
2005-12-03,90
2005-12-10,82
2005-12-17,76
2005-12-24,59
2005-12-31,61
2006-01-07,73
2006-01-14,78
2006-01-21,78
2006-01-28,79
2006-02-04,83
2006-02-11,85
2006-02-18,82
2006-02-25,80
2006-03-04,84
2006-03-11,81
2006-03-18,77
2006-03-25,82
2006-04-01,81
2006-04-08,84
2006-04-15,81
2006-04-22,85
2006-04-29,91
2006-05-06,84
2006-05-13,81
2006-05-20,77
2006-05-27,73
2006-06-03,72
2006-06-10,76
2006-06-17,67
2006-06-24,69
2006-07-01,63
2006-07-08,63
2006-07-15,65
2006-07-22,61
2006-07-29,63
2006-08-05,63
2006-08-12,62
2006-08-19,62
2006-08-26,66
2006-09-02,62
2006-09-09,67
2006-09-16,74
2006-09-23,72
2006-09-30,75
2006-10-07,78
2006-10-14,79
2006-10-21,75
2006-10-28,75
2006-11-04,77
2006-11-11,77
2006-11-18,76
2006-11-25,67
2006-12-02,75
2006-12-09,81
2006-12-16,72
2006-12-23,61
2006-12-30,50
2007-01-06,67
2007-01-13,71
2007-01-20,69
2007-01-27,77
2007-02-03,77
2007-02-10,73
2007-02-17,72
2007-02-24,72
2007-03-03,75
2007-03-10,76
2007-03-17,72
2007-03-24,75
2007-03-31,80
2007-04-07,74
2007-04-14,77
2007-04-21,75
2007-04-28,81
2007-05-05,79
2007-05-12,75
2007-05-19,73
2007-05-26,69
2007-06-02,70
2007-06-09,71
2007-06-16,67
2007-06-23,63
2007-06-30,65
2007-07-07,62
2007-07-14,68
2007-07-21,66
2007-07-28,67
2007-08-04,62
2007-08-11,66
2007-08-18,63
2007-08-25,60
2007-09-01,64
2007-09-08,67
2007-09-15,72
2007-09-22,76
2007-09-29,80
2007-10-06,78
2007-10-13,78
2007-10-20,77
2007-10-27,78
2007-11-03,79
2007-11-10,80
2007-11-17,77
2007-11-24,68
2007-12-01,78
2007-12-08,78
2007-12-15,79
2007-12-22,64
2007-12-29,53
2008-01-05,59
2008-01-12,71
2008-01-19,73
2008-01-26,75
2008-02-02,79
2008-02-09,78
2008-02-16,78
2008-02-23,75
2008-03-01,78
2008-03-08,73
2008-03-15,74
2008-03-22,70
2008-03-29,73
2008-04-05,77
2008-04-12,74
2008-04-19,76
2008-04-26,77
2008-05-03,78
2008-05-10,75
2008-05-17,69
2008-05-24,66
2008-05-31,65
2008-06-07,64
2008-06-14,63
2008-06-21,61
2008-06-28,61
2008-07-05,58
2008-07-12,63
2008-07-19,61
2008-07-26,60
2008-08-02,57
2008-08-09,56
2008-08-16,55
2008-08-23,54
2008-08-30,58
2008-09-06,59
2008-09-13,65
2008-09-20,72
2008-09-27,70
2008-10-04,74
2008-10-11,75
2008-10-18,77
2008-10-25,73
2008-11-01,73
2008-11-08,66
2008-11-15,78
2008-11-22,75
2008-11-29,61
2008-12-06,73
2008-12-13,71
2008-12-20,58
2008-12-27,42
2009-01-03,50
2009-01-10,62
2009-01-17,62
2009-01-24,62
2009-01-31,68
2009-02-07,67
2009-02-14,69
2009-02-21,68
2009-02-28,73
2009-03-07,72
2009-03-14,69
2009-03-21,68
2009-03-28,73
2009-04-04,72
2009-04-11,70
2009-04-18,86
2009-04-25,77
2009-05-02,77
2009-05-09,75
2009-05-16,70
2009-05-23,66
2009-05-30,64
2009-06-06,68
2009-06-13,62
2009-06-20,59
2009-06-27,58
2009-07-04,56
2009-07-11,56
2009-07-18,60
2009-07-25,59
2009-08-01,59
2009-08-08,56
2009-08-15,55
2009-08-22,55
2009-08-29,56
2009-09-05,57
2009-09-12,63
2009-09-19,68
2009-09-26,71
2009-10-03,73
2009-10-10,72
2009-10-17,71
2009-10-24,73
2009-10-31,69
2009-11-07,70
2009-11-14,72
2009-11-21,72
2009-11-28,59
2009-12-05,75
2009-12-12,69
2009-12-19,62
2009-12-26,43
2010-01-02,49
2010-01-09,61
2010-01-16,66
2010-01-23,65
2010-01-30,70
2010-02-06,72
2010-02-13,70
2010-02-20,69
2010-02-27,72
2010-03-06,74
2010-03-13,71
2010-03-20,70
2010-03-27,72
2010-04-03,69
2010-04-10,72
2010-04-17,75
2010-04-24,77
2010-05-01,77
2010-05-08,76
2010-05-15,71
2010-05-22,67
2010-05-29,64
2010-06-05,58
2010-06-12,60
2010-06-19,59
2010-06-26,55
2010-07-03,53
2010-07-10,52
2010-07-17,56
2010-07-24,56
2010-07-31,55
2010-08-07,53
2010-08-14,52
2010-08-21,54
2010-08-28,54
2010-09-04,57
2010-09-11,57
2010-09-18,62
2010-09-25,65
2010-10-02,64
2010-10-09,66
2010-10-16,64
2010-10-23,67
2010-10-30,66
2010-11-06,67
2010-11-13,68
2010-11-20,68
2010-11-27,51
2010-12-04,66
2010-12-11,67
2010-12-18,59
2010-12-25,44
2011-01-01,43
2011-01-08,64
2011-01-15,64
2011-01-22,69
2011-01-29,72
2011-02-05,68
2011-02-12,72
2011-02-19,73
2011-02-26,69
2011-03-05,72
2011-03-12,72
2011-03-19,67
2011-03-26,70
2011-04-02,73
2011-04-09,72
2011-04-16,78
2011-04-23,73
2011-04-30,76
2011-05-07,75
2011-05-14,69
2011-05-21,69
2011-05-28,65
2011-06-04,63
2011-06-11,60
2011-06-18,61
2011-06-25,59
2011-07-02,58
2011-07-09,57
2011-07-16,62
2011-07-23,60
2011-07-30,62
2011-08-06,62
2011-08-13,61
2011-08-20,59
2011-08-27,58
2011-09-03,61
2011-09-10,63
2011-09-17,68
2011-09-24,71
2011-10-01,72
2011-10-08,72
2011-10-15,71
2011-10-22,69
2011-10-29,72
2011-11-05,73
2011-11-12,72
2011-11-19,70
2011-11-26,57
2011-12-03,72
2011-12-10,72
2011-12-17,65
2011-12-24,48
2011-12-31,45
2012-01-07,57
2012-01-14,64
2012-01-21,65
2012-01-28,72
2012-02-04,73
2012-02-11,72
2012-02-18,70
2012-02-25,70
2012-03-03,75
2012-03-10,72
2012-03-17,69
2012-03-24,72
2012-03-31,70
2012-04-07,70
2012-04-14,70
2012-04-21,75
2012-04-28,77
2012-05-05,77
2012-05-12,70
2012-05-19,69
2012-05-26,68
2012-06-02,62
2012-06-09,65
2012-06-16,63
2012-06-23,61
2012-06-30,57
2012-07-07,56
2012-07-14,63
2012-07-21,61
2012-07-28,61
2012-08-04,61
2012-08-11,59
2012-08-18,60
2012-08-25,60
2012-09-01,65
2012-09-08,68
2012-09-15,72
2012-09-22,74
2012-09-29,77
2012-10-06,77
2012-10-13,73
2012-10-20,73
2012-10-27,75
2012-11-03,66
2012-11-10,71
2012-11-17,72
2012-11-24,56
2012-12-01,73
2012-12-08,72
2012-12-15,70
2012-12-22,56
2012-12-29,44
2013-01-05,54
2013-01-12,67
2013-01-19,69
2013-01-26,71
2013-02-02,76
2013-02-09,74
2013-02-16,74
2013-02-23,73
2013-03-02,75
2013-03-09,74
2013-03-16,72
2013-03-23,72
2013-03-30,68
2013-04-06,71
2013-04-13,78
2013-04-20,75
2013-04-27,76
2013-05-04,78
2013-05-11,76
2013-05-18,71
2013-05-25,67
2013-06-01,62
2013-06-08,64
2013-06-15,62
2013-06-22,60
2013-06-29,60
2013-07-06,56
2013-07-13,61
2013-07-20,61
2013-07-27,61
2013-08-03,61
2013-08-10,58
2013-08-17,60
2013-08-24,62
2013-08-31,63
2013-09-07,65
2013-09-14,72
2013-09-21,71
2013-09-28,76
2013-10-05,76
2013-10-12,76
2013-10-19,75
2013-10-26,77
2013-11-02,74
2013-11-09,75
2013-11-16,78
2013-11-23,78
2013-11-30,58
2013-12-07,73
2013-12-14,73
2013-12-21,62
2013-12-28,45
2014-01-04,54
